kepid,label,file
3326377,transit,dataset/3326377.npz
10290666,transit,dataset/10290666.npz
8686373,transit,dataset/8686373.npz
3644738,centroid_offset,dataset/3644738.npz
5456319,centroid_offset,dataset/5456319.npz
10010452,not_transit,dataset/10010452.npz
11923074,Ephemeris match,dataset/11923074.npz
7690782,transit,dataset/7690782.npz
9451127,stellar_eclipse,dataset/9451127.npz
11241814,stellar_eclipse,dataset/11241814.npz
9536108,transit,dataset/9536108.npz
10661679,stellar_eclipse,dataset/10661679.npz
5125048,not_transit,dataset/5125048.npz
9016592,not_transit,dataset/9016592.npz
9906802,not_transit,dataset/9906802.npz
7192680,not_transit,dataset/7192680.npz
8955709,centroid_offset,dataset/8955709.npz
1724719,transit,dataset/1724719.npz
5475641,centroid_offset,dataset/5475641.npz
6437226,not_transit,dataset/6437226.npz
6584278,transit,dataset/6584278.npz
8680979,transit,dataset/8680979.npz
3241647,centroid_offset,dataset/3241647.npz
10535991,centroid_offset,dataset/10535991.npz
8552202,transit,dataset/8552202.npz
9593528,stellar_eclipse,dataset/9593528.npz
4677282,stellar_eclipse,dataset/4677282.npz
10910878,transit,dataset/10910878.npz
4827723,transit,dataset/4827723.npz
12349560,transit,dataset/12349560.npz
9658192,centroid_offset,dataset/9658192.npz
4571004,not_transit,dataset/4571004.npz
5530112,transit,dataset/5530112.npz
5305471,centroid_offset,dataset/5305471.npz
7841925,transit,dataset/7841925.npz
9087071,not_transit,dataset/9087071.npz
4917596,transit,dataset/4917596.npz
4483235,not_transit,dataset/4483235.npz
4741126,transit,dataset/4741126.npz
7115332,not_transit,dataset/7115332.npz
11621223,transit,dataset/11621223.npz
2695110,stellar_eclipse,dataset/2695110.npz
2708221,centroid_offset,dataset/2708221.npz
5899544,centroid_offset,dataset/5899544.npz
4479633,centroid_offset,dataset/4479633.npz
10028792,transit,dataset/10028792.npz
6956176,transit,dataset/6956176.npz
9851126,stellar_eclipse,dataset/9851126.npz
5193400,stellar_eclipse,dataset/5193400.npz
5602588,transit,dataset/5602588.npz
5895588,centroid_offset,dataset/5895588.npz
7703910,centroid_offset,dataset/7703910.npz
9773869,stellar_eclipse,dataset/9773869.npz
5024429,centroid_offset,dataset/5024429.npz
3337548,not_transit,dataset/3337548.npz
3098843,centroid_offset,dataset/3098843.npz
